A001|U005|U004|U002|NORMAL_SERVICE|CANCELLED|2026-05-17 09:00|2026-05-17 10:00|2026-05-17 07:59|
A002|U005|U004|U002|NORMAL_SERVICE|COMPLETED|2026-05-17 11:00|2026-05-17 12:00|2026-05-17 08:13|engine full service, suspension changingx4, tyre 215 15 r17 x4
A003|U005|U004|U002|NORMAL_SERVICE|COMPLETED|2026-05-17 15:00|2026-05-17 16:00|2026-05-17 08:14|service complete
A004|U005|U004|U002|NORMAL_SERVICE|CANCELLED|2026-05-18 09:00|2026-05-18 10:00|2026-05-17 08:14|
A005|U005|U004|U002|NORMAL_SERVICE|COMPLETED|2026-05-17 11:00|2026-05-17 12:00|2026-05-17 08:14|completed
A006|U005|U003|U002|MAJOR_SERVICE|COMPLETED|2026-05-17 15:00|2026-05-17 18:00|2026-05-17 08:14|kk
A007|U005|U004|U002|OTHER|CONFIRMED|2026-05-17 09:00|2026-05-20 12:00|2026-05-17 08:15|
A008|U005||U002|MAJOR_SERVICE|PENDING|2026-05-20 09:00|2026-05-20 12:00|2026-05-18 13:06|
A009|U005||U002|NORMAL_SERVICE|PENDING|2026-05-25 09:00|2026-05-25 10:00|2026-05-18 13:06|
A010|U005||U002|NORMAL_SERVICE|PENDING|2026-05-25 11:00|2026-05-25 12:00|2026-05-18 15:33|
